Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,10278.9,10312.05,10251.5,10284.65,1510172056,36719.46
29-AUG-2023,10320.15,10320.95,10294.2,10311.55,1510422315,43045.22
30-AUG-2023,10360.4,10374.8,10324.35,10330.05,1378299468,41263.17
31-AUG-2023,10345.85,10349,10272.5,10284.95,2622704120,97942.73
01-SEP-2023,10289.75,10388.3,10285.4,10378.95,2843910229,52681.2
04-SEP-2023,10427.4,10447.9,10378.95,10440.75,2883252068,52632.84
05-SEP-2023,10465.3,10483.55,10440.75,10478.2,2364999754,52108.67
06-SEP-2023,10487.6,10511.05,10444.95,10500.85,1946358174,55785.76
07-SEP-2023,10501.2,10570.1,10485.45,10564.2,1733178051,45972.53
08-SEP-2023,10592.4,10645.75,10574.9,10624.35,1835324690,51015.69
11-SEP-2023,10668.55,10730.45,10656.85,10725.4,2212692250,50457.19
12-SEP-2023,10785.55,10785.6,10618.55,10645.05,2650442314,62707.63
13-SEP-2023,10641.95,10691.2,10595.15,10681,2015694165,49310.59
14-SEP-2023,10717.9,10746.15,10685.35,10721.05,1591633002,44342.54
15-SEP-2023,10753.65,10779.35,10733.65,10763.6,2418340145,70911.85
18-SEP-2023,10758.75,10766.2,10725.2,10733,2277923733,45478.67
20-SEP-2023,10665,10700.75,10611.9,10626.85,1657926982,59894.33
21-SEP-2023,10600.05,10603.75,10522.2,10540.85,1412684864,46276
22-SEP-2023,10545.15,10575.1,10496.15,10511.45,1533919244,44950.22
25-SEP-2023,10518.1,10541.45,10471.25,10518.7,1233372857,40389.78
26-SEP-2023,10524.05,10537.95,10502.95,10515.65,1409965081,36375.94
27-SEP-2023,10508.7,10557.15,10469,10549.85,1450048849,40381.94
28-SEP-2023,10573.35,10575.75,10420.8,10436.15,1707743825,57096.47
29-SEP-2023,10470.05,10550.9,10456.7,10510.25,1264356953,42802.05
03-OCT-2023,10507.95,10508.65,10443.35,10474.6,1325074557,42630.02
04-OCT-2023,10436.25,10439.7,10342.75,10399.55,1425903844,48432.78
05-OCT-2023,10446.65,10464.15,10418.8,10445,1238232740,41105.18
06-OCT-2023,10487,10514.9,10470.5,10503.75,958034409,32522.61
09-OCT-2023,10432.9,10454.6,10391.6,10411.75,1273375831,32074.58
10-OCT-2023,10444.8,10529.35,10444.55,10518.45,1047803110,38439.89
11-OCT-2023,10564.35,10603.95,10560.1,10581.1,1361327826,40506.75
12-OCT-2023,10596.4,10607.05,10570.95,10579.85,1100829274,37981.46
13-OCT-2023,10515.75,10589.3,10505.3,10561.3,1270220843,41460.63
16-OCT-2023,10557.65,10583.35,10534.05,10559.55,979196373,31861.89
17-OCT-2023,10616.25,10618.65,10583.5,10600.8,1196751535,35611.85
18-OCT-2023,10608.2,10611.9,10513,10519.25,1139751497,39034.63
19-OCT-2023,10458.55,10519.95,10431.45,10495.55,1031820243,40872.33
20-OCT-2023,10458.75,10480.75,10423.55,10435,1187335686,37267.58
23-OCT-2023,10428.75,10441.45,10250,10266.15,1425871441,38738.24
25-OCT-2023,10275.4,10310.55,10145.05,10185.75,1339319004,40248.25
26-OCT-2023,10134.5,10141.25,10017.55,10052.5,1527127913,52474.74
27-OCT-2023,10098.7,10189.85,10097.75,10173.65,1157519913,39711.41
30-OCT-2023,10182.9,10221.45,10108.65,10213.6,1288617616,36123.93
31-OCT-2023,10264.85,10265.05,10187.05,10198.35,1171317968,38068.12
01-NOV-2023,10199.55,10214.75,10143.3,10151.95,1811324091,36970.91
02-NOV-2023,10223.45,10257.55,10205.05,10248.15,1617650936,39203.99
03-NOV-2023,10308.05,10328.45,10300.55,10311.25,1758314508,38478.3
06-NOV-2023,10371.45,10411.15,10354.85,10405.65,1213392058,36958.36
07-NOV-2023,10408.95,10426.6,10376.95,10418.1,1314570502,40959.63
08-NOV-2023,10449.75,10463.7,10430.75,10457.95,1488207629,38786.85
09-NOV-2023,10471.25,10474.05,10428.5,10435.8,1543062162,39538.85
10-NOV-2023,10415.45,10469.4,10395.4,10457.55,1133739139,31653.08
12-NOV-2023,10527.5,10527.95,10504.3,10512.75,254030423,5692.89
13-NOV-2023,10494.5,10497.3,10459.05,10482.45,1497688522,33045.7
15-NOV-2023,10588.85,10606.9,10559,10599.45,1843512170,48838.85
16-NOV-2023,10603.2,10700,10580.7,10651.85,1397230506,45306.73
17-NOV-2023,10612.65,10679.5,10607.4,10649.5,1990407996,47289.52
20-NOV-2023,10656.55,10666.8,10622.45,10631.8,1410108162,36166.28
21-NOV-2023,10673.35,10690.85,10659.7,10667.35,1196326538,37282.04
22-NOV-2023,10671.7,10689.4,10618.5,10678.65,1155961041,36185.6
23-NOV-2023,10693.7,10713.15,10671.5,10678.9,1049182642,32533.3
24-NOV-2023,10689.2,10701.1,10668.2,10676.5,1060492910,36230.54
28-NOV-2023,10707.75,10755.35,10689,10742.95,1468497161,52090.03
29-NOV-2023,10797,10850.95,10790.45,10846.45,1460433980,52143.27
30-NOV-2023,10857.6,10899,10808.95,10887.35,2869673107,114911.65
01-DEC-2023,10930.55,10983.9,10924,10969,1547301291,52172.34
04-DEC-2023,11156.3,11189.05,11095.7,11180.75,1928166634,69367.22
05-DEC-2023,11238.95,11280.3,11192.25,11275.95,1902128792,80866.29
06-DEC-2023,11331.15,11347.35,11283.95,11337.2,1760662064,78733.21
07-DEC-2023,11345.4,11359.45,11301.5,11348.45,1917290803,64779.31
08-DEC-2023,11377.25,11401.1,11287.45,11358.8,1638649015,61714.58
11-DEC-2023,11367.6,11402.6,11356.45,11396.5,1803063890,51479.81
12-DEC-2023,11416.6,11423.05,11310.75,11342.55,2132323064,62724.37
13-DEC-2023,11361.5,11388.7,11282.6,11376.7,2041465981,60768.5
14-DEC-2023,11471.55,11535.1,11461.45,11520.35,2668409803,73422.21
15-DEC-2023,11579.15,11641.5,11544.5,11627.8,2535242374,91004.3
18-DEC-2023,11626.7,11657,11582.2,11627,2138931351,56746.69
19-DEC-2023,11660.35,11664.15,11570.55,11637.45,1937965254,55881.64
20-DEC-2023,11695.2,11719.9,11384.5,11417.2,2544129674,73699.42
21-DEC-2023,11340.75,11523.65,11306.1,11507.65,2048535437,60486.35
22-DEC-2023,11545.25,11590.55,11498.45,11569.1,1668225641,57389.36
26-DEC-2023,11590.1,11647.1,11569,11629.85,1431587453,46193.45
27-DEC-2023,11669.5,11737,11659.85,11727,1225983501,48671.46
28-DEC-2023,11762.7,11799.95,11736.55,11790.05,1901729620,69203.22
29-DEC-2023,11781.8,11811.5,11749.85,11798.7,3248944987,55145.24
01-JAN-2024,11809.45,11865.05,11787.8,11817.5,3375313977,41336.69
02-JAN-2024,11831.4,11833.45,11699.05,11782.6,2942718795,57140.09
03-JAN-2024,11791.55,11796.95,11734.25,11745.5,2313581439,68367.61
04-JAN-2024,11796.8,11863.65,11782.5,11850.6,1996616931,63318.49
05-JAN-2024,11884.3,11904.1,11817.35,11872.3,2549181732,60868
08-JAN-2024,11897.2,11900.75,11748.8,11759.7,1834578725,47684.57
09-JAN-2024,11838.9,11870.7,11768.8,11782.9,1912985009,56397.73
10-JAN-2024,11782.25,11829.9,11717.1,11820.45,2035659916,52014.47
11-JAN-2024,11863.2,11885.05,11824.6,11855.2,1663356455,59009.63
12-JAN-2024,11920.7,11978.55,11885.75,11960.85,1613260638,60032.59
15-JAN-2024,12042.05,12062.45,11979.6,12055.4,2128468994,66078.71
16-JAN-2024,12056.6,12074.8,11971.1,12019.45,2703196358,65075.73
17-JAN-2024,11844.3,11937.7,11790.75,11801.35,2769774994,89095.03
18-JAN-2024,11732.45,11782.65,11599.9,11749.35,2417384918,81096.16
19-JAN-2024,11835.05,11871.8,11817.1,11862.3,2264298970,75584.65
20-JAN-2024,11916.75,11927.05,11842.8,11855.95,1360346747,38056.06
23-JAN-2024,11943.1,11950.45,11599.4,11626.8,2825638546,100025.1
24-JAN-2024,11614.45,11782.2,11555.45,11769.4,2585626785,87656.05
25-JAN-2024,11783.1,11783.65,11660.2,11724.75,2213135938,75882.62
29-JAN-2024,11771.5,11937.75,11767.65,11925.9,2236899839,76698.09
30-JAN-2024,11957.35,11974,11819.6,11829.6,2098483289,71546.83
31-JAN-2024,11822.45,11961.5,11802.5,11953.8,1930336648,81675.18
01-FEB-2024,11992.75,12003.15,11901.2,11937.65,2240822171,78347.96
02-FEB-2024,12000.6,12140.2,11995.45,12017.2,2632725675,82153.07
05-FEB-2024,12063.5,12091.65,11949.35,11975.65,2749478264,82004.32
06-FEB-2024,12013.65,12090.45,11953.65,12082.95,2895568757,76106.56
07-FEB-2024,12156.2,12162.45,12065.45,12126.8,3765428446,76291.12
08-FEB-2024,12185.8,12187.3,12026.35,12052.65,4085058723,92360.91
09-FEB-2024,12064.45,12085.3,11930.15,12055.65,4055357318,84278.19
12-FEB-2024,12077.3,12088.15,11890.15,11914.1,2829280097,69178.67
13-FEB-2024,11939.2,11992.2,11836.4,11983.85,2540390961,68326.22
14-FEB-2024,11887,12076.65,11862.75,12063.45,2312929903,66888.52
15-FEB-2024,12114.9,12145,12069.75,12124.8,2389527497,69952.91
16-FEB-2024,12184.85,12212.85,12157.15,12198.65,,
19-FEB-2024,12242.95,12278.75,12198.6,12240.95,1783862385,52926.75
20-FEB-2024,12236.2,12278.75,12205.8,12269.1,1814153764,55716.99
21-FEB-2024,12301.95,12307.75,12149.95,12181.8,2188925574,64839.61
22-FEB-2024,12208.8,12298.55,12104.8,12282.4,2348334723,64703.88
23-FEB-2024,12324.85,12327.65,12275.85,12292.45,3267505362,59449.19
26-FEB-2024,12277.9,12301.4,12222.45,12255.15,2015147507,58793.21
27-FEB-2024,12245.7,12297.9,12239.8,12277.55,2056939926,57341.82
28-FEB-2024,12293.2,12301.7,12099.1,12119.45,3092240348,56388.36
29-FEB-2024,12112.7,12203.1,12054.75,12160.45,3590878421,101470.39
01-MAR-2024,12206,12337.85,12205.35,12331.15,2178138378,61154.86
02-MAR-2024,12372.1,12385.75,12357.3,12369.95,220643733,4927.61
04-MAR-2024,12389.3,12406.65,12353.15,12386.95,1884423777,61177.09
05-MAR-2024,12380.4,12393.05,12324.4,12361.55,1750503839,61606.5
06-MAR-2024,12355.45,12402.85,12241.2,12391.25,2616958455,75016.06
07-MAR-2024,12410.6,12441.3,12386.75,12417.25,1577780496,68938.8
11-MAR-2024,12440.35,12443.5,12330.85,12345.7,1496013152,65997.68
12-MAR-2024,12351.05,12380.85,12269.8,12293.65,1623653368,60247.81
13-MAR-2024,12337.4,12344.45,11949.05,12008.8,3004484478,82991.31
14-MAR-2024,11983.75,12163.45,11937.4,12147.85,2691207320,73836.47
15-MAR-2024,12113.8,12152.75,11998.85,12080.65,2923917431,104669.59
18-MAR-2024,12065.25,12126.65,12013.55,12094.45,1586757867,51780.76
19-MAR-2024,12053.15,12062.75,11939.6,11950.45,1529060883,57248.53
20-MAR-2024,11973.4,12003.15,11868.35,11965.25,1506698327,54839.2
21-MAR-2024,12060.45,12126.75,12054.1,12114.5,1480356273,59789.73
22-MAR-2024,12084.35,12204.85,12050.5,12168.75,1921544340,67660.17
26-MAR-2024,12100.8,12195.5,12100.5,12173.65,1703266964,69768.49
27-MAR-2024,12207.3,12272.85,12205.55,12219,1866733980,78950.22
28-MAR-2024,12252.75,12413.15,12252.55,12329.75,1948932345,79333.54
01-APR-2024,12410.65,12465.2,12407.2,12447.2,1845642021,53807.51
02-APR-2024,12462.95,12489.75,12432.05,12483.4,2169836753,68450.77
03-APR-2024,12452.5,12528.15,12432,12492.45,2320960723,72159.34
04-APR-2024,12583.1,12594.95,12443.35,12524.45,2628093603,76842.52
05-APR-2024,12516.8,12562.15,12486.85,12551,2137344570,59056.54
08-APR-2024,12602.4,12642.5,12578.7,12615.6,2098390205,59699.3
09-APR-2024,12670.35,12670.35,12569.5,12595.6,1586946737,54409.52
10-APR-2024,12640.5,12682.55,12619.85,12671.8,1962957050,62579.07
12-APR-2024,12641.95,12672.65,12554.1,12559.3,2695781833,75512.58
15-APR-2024,12417.85,12489.9,12352.1,12397.4,2525932545,68597.18
16-APR-2024,12325.5,12393.5,12304.35,12351.45,2525802464,61983.11
18-APR-2024,12405.7,12464.25,12261.85,12282.7,2405131942,80978.96
19-APR-2024,12197.3,12350.75,12119,12325.85,2207536333,68375.82
22-APR-2024,12436.95,12460.1,12369.7,12441.4,3125915632,60812.36
23-APR-2024,12508.55,12508.65,12464,12478.35,4189768898,62890.37
24-APR-2024,12515.45,12543.95,12504.6,12516.55,3015910708,59673.93
25-APR-2024,12486,12618.1,12482.75,12599.7,10107759969,100443.88
26-APR-2024,12632.15,12638.75,12553.75,12570.3,5785272511,82626.48
29-APR-2024,12608.35,12681.45,12575.4,12675.2,3371948323,74429.82
30-APR-2024,12708.2,12769.6,12656.25,12673.15,2967015147,88549.04
02-MAY-2024,12675.1,12756.5,12674.7,12730.55,2730457548,89386.02
03-MAY-2024,12795.2,12807.75,12573.1,12651.15,3439885103,91741.93
06-MAY-2024,12698.3,12701.7,12571.2,12601.75,2547243839,78777.51
07-MAY-2024,12630.3,12632.3,12425.1,12475,3209590984,76513.47
08-MAY-2024,12442.9,12554.55,12404.35,12517.4,2244089471,71371.1
09-MAY-2024,12496.75,12531.8,12294.75,12309.9,2168448704,74285.75
10-MAY-2024,12340.1,12395.3,12295.9,12380.55,1763672899,61673.11
13-MAY-2024,12378.9,12427.5,12216.4,12410,1943627474,69341.94
14-MAY-2024,12425.3,12522.55,12401.35,12502.85,2131412485,60450.16
15-MAY-2024,12536.95,12570.65,12493,12528.65,1729654824,62315.63
16-MAY-2024,12594.7,12655.95,12467.1,12641.7,1989564301,82244.27
17-MAY-2024,12658.95,12714.7,12631.7,12705.15,2079997297,71546.73
18-MAY-2024,12741.75,12751.4,12724.95,12744.75,357379536,8692.61
21-MAY-2024,12719.75,12804.75,12710.75,12780.45,2738278723,86354.38
22-MAY-2024,12818.3,12828.95,12733.1,12813.5,2209120384,77081.12
23-MAY-2024,12835.55,12993.2,12820.6,12982.4,2832082259,88860.11
24-MAY-2024,12975,13028.75,12953.85,12981.65,4629049608,81243.57
27-MAY-2024,13034.1,13062.75,12957.4,12985.4,2770904589,79898.91
28-MAY-2024,13013.2,13022.95,12905.75,12928.1,2078485304,62962.22
29-MAY-2024,12862.75,12902.4,12827.75,12836.45,1885914787,66052.43
30-MAY-2024,12800.3,12839.3,12671.4,12708.3,2624246051,73068.07
31-MAY-2024,12763.2,12791.6,12687.9,12742.8,5661640135,171739.76
03-JUN-2024,13243.4,13243.4,13071.9,13183.85,4202206002,129956.25
04-JUN-2024,13151.35,13151.35,11878.65,12288.15,7986309410,213733.5
05-JUN-2024,12442.15,12764.2,12177.95,12740.6,4689546157,144749.02
06-JUN-2024,12857.55,12962.9,12805.85,12902.2,3050968426,107554.28
07-JUN-2024,12909.75,13153.55,12876.75,13142,2966478607,92744.31
10-JUN-2024,13181.2,13230.9,13117.3,13145.95,2865532686,82312.07
11-JUN-2024,13170.4,13230.9,13126.2,13162.7,2752539204,71017.29
12-JUN-2024,13212.25,13263.9,13190.5,13219.95,2589847053,72918.37
13-JUN-2024,13317.65,13317.7,13237.85,13282.5,2118029359,76608.23
14-JUN-2024,13325.85,13370.25,13263.8,13360.6,2527669011,79944.44
18-JUN-2024,13422.05,13428.8,13380.3,13421.9,2273046629,81746.55
19-JUN-2024,13465.3,13465.3,13306.1,13362.8,4108587000,116034.12
20-JUN-2024,13400.75,13423,13333.65,13405.9,2260614330,76527.89
21-JUN-2024,13459.35,13459.85,13326.7,13361.1,3796437072,124516.15
24-JUN-2024,13305.5,13404.8,13264.15,13397.05,2383940906,68670.61
25-JUN-2024,13428.3,13465.2,13389.4,13451.05,1932841493,71322.04
26-JUN-2024,13451.9,13509.85,13412.4,13496.15,3017520368,81528.78
27-JUN-2024,13506.6,13599.45,13480.4,13575.8,3429724302,120211.69
28-JUN-2024,13604.2,13653.55,13565.8,13579.25,3595944640,93332.65
01-JUL-2024,13584.25,13676.05,13576.7,13668.7,2089447664,68308.82
02-JUL-2024,13714.55,13717.1,13586.25,13635.3,2172881142,75953.02
03-JUL-2024,13722.95,13749.95,13684.75,13737.6,2236323961,78982.85
04-JUL-2024,13785.95,13804.55,13744.95,13766.6,2005263454,78333
