Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,26087.05,26199.6,25977.7,26015.8,136711340,4512.61
29-AUG-2023,26088.15,26111.8,25965,26056.65,146504611,5211.38
30-AUG-2023,26121,26129.35,25937.7,25959.05,73635794,3030.04
31-AUG-2023,25972.7,26014.15,25648.35,25722.95,235663367,8078.37
01-SEP-2023,25728.2,26356.75,25678.05,26332.9,178647817,6317.92
04-SEP-2023,26511.25,26708.9,26332.9,26633.05,210279678,6454.45
05-SEP-2023,26737.8,26793.1,26590.4,26743,144559789,4738.61
06-SEP-2023,26803.25,26860,26571.05,26819.9,314482269,9662.06
07-SEP-2023,26856.45,27128.9,26723,27062.85,171104697,6460.54
08-SEP-2023,27175.35,27527.7,27123.85,27438.05,198268687,7689.15
11-SEP-2023,27660.2,27734.9,27467.2,27716.6,127317954,5301.59
12-SEP-2023,27927.85,27938.6,26992.05,27025.1,160176818,6289.17
13-SEP-2023,27116,27358.45,26975.65,27275.35,84474249,3420.94
14-SEP-2023,27401.2,27471.9,27311.1,27420.55,87295083,3166.48
15-SEP-2023,27522.65,27553.2,27287.45,27338.15,138096472,6098.84
18-SEP-2023,27364.05,27592.05,27228.4,27536.2,96677698,3667.01
20-SEP-2023,27431.35,27577.25,27313.9,27440.3,160806730,10584.06
21-SEP-2023,27411.3,27484.45,27149.4,27226.6,92552359,3987.84
22-SEP-2023,27248.95,27317.25,27032.4,27102.4,81688043,4338.68
25-SEP-2023,27163.25,27202.4,26958,27105.5,65570018,3292.55
26-SEP-2023,27117.5,27274.2,27101.6,27134.4,72863029,3141.51
27-SEP-2023,27172.55,27255.6,27009.9,27231.45,72747982,3214.84
28-SEP-2023,27334.65,27374.15,26995.35,27062.75,155665245,5221.92
29-SEP-2023,27180.8,27478.35,27150.25,27321.75,97135349,3649.58
03-OCT-2023,27238,27252.4,26950.2,26973.05,87505914,2858.65
04-OCT-2023,26909.55,26911.1,26562.2,26738.45,87964880,3070.2
05-OCT-2023,26843.45,26859.15,26615.55,26688.25,82570867,2976.07
06-OCT-2023,26768.8,26805.45,26664.3,26731.65,48711457,1598.6
09-OCT-2023,26597.7,26605.6,26340.6,26472.95,68632156,2294.69
10-OCT-2023,26524.35,26787.4,26523.75,26751.9,77243081,2873.18
11-OCT-2023,26835.3,27052.25,26829.1,27002.5,72274005,2690.61
12-OCT-2023,27013.65,27266.8,27003.2,27176.05,85107172,3276.49
13-OCT-2023,27092.1,27262.85,27055.6,27201.35,66747855,2517.8
16-OCT-2023,27210.8,27357.75,27136.05,27258.05,68822256,2160.43
17-OCT-2023,27385.3,27530.15,27327.05,27510.25,71199257,2439.88
18-OCT-2023,27565.45,27585.15,27220.7,27246.4,68892191,2489.4
19-OCT-2023,27087.7,27185.3,26975.15,27089.05,63847198,2724.52
20-OCT-2023,27032.25,27105,26895.9,26955.7,69294311,2470.28
23-OCT-2023,26918.75,26949.5,26373.7,26449.65,55013162,2092.3
25-OCT-2023,26396.9,26612.3,26111.8,26328.5,82889710,3028.79
26-OCT-2023,26220,26230.35,25833.45,26045,78420641,3337.65
27-OCT-2023,26144.85,26601.9,26144.6,26522.65,59953024,2636.57
30-OCT-2023,26604.9,26890.6,26486,26840.9,67711701,3453.59
31-OCT-2023,26971.8,26992.1,26692.5,26785.05,78983883,2875.29
01-NOV-2023,26841.2,26908.65,26644.75,26679.2,102210075,2846.55
02-NOV-2023,26866.6,27002,26824.75,26960.8,122441585,3153.71
03-NOV-2023,27019.45,27161.75,27009.95,27085.8,75030383,2262.86
06-NOV-2023,27226.95,27466.3,27203.3,27448.9,118114192,3178.83
07-NOV-2023,27481,27580.2,27395.1,27508.35,135349118,3000.56
08-NOV-2023,27638.1,27677.5,27586.6,27622.85,133153853,3304.14
09-NOV-2023,27682.6,27688.4,27510.5,27541.8,110316711,3916.3
10-NOV-2023,27535.85,27753.75,27456.15,27738,78428174,2367.6
12-NOV-2023,27999.75,28055,27916.45,27957.25,26682523,809.19
13-NOV-2023,27919.75,28119.25,27848.55,28066.25,122126176,3452.34
15-NOV-2023,28430.3,28430.3,28193.45,28352.5,141597745,4602.8
16-NOV-2023,28369.2,28577.35,28306.95,28447.8,157914747,4851.56
17-NOV-2023,28459.85,28514.95,28284.85,28312.65,119045345,3217.08
