Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,19659.75,19797.45,19638.15,19759.65,94686340,7686.83
29-AUG-2023,19836.5,19843.65,19765.25,19799.95,112991379,9705.13
30-AUG-2023,19899.3,19914.4,19666.85,19701.35,100640974,8189.5
31-AUG-2023,19719.1,19745.8,19566.2,19597.65,505640465,30489.21
01-SEP-2023,19598.05,19806.75,19545.7,19764.35,151917081,10886.45
04-SEP-2023,19867.25,19871,19701,19787.6,111890896,7964.01
05-SEP-2023,19808.6,19817.05,19706.5,19754.75,148843492,11347.54
06-SEP-2023,19739.5,19811.05,19654,19759,153791186,13832.79
07-SEP-2023,19764.35,19977.35,19719.35,19960.7,119714290,9042.48
08-SEP-2023,19989.8,20221.35,19953.65,20138.1,235581466,12475
11-SEP-2023,20218.1,20329.3,20177.85,20305.3,131834527,9099.67
12-SEP-2023,20439.95,20440.05,20222.9,20303.85,183606001,12745.74
13-SEP-2023,20265.25,20430.15,20206.2,20386.75,154972208,12615.31
14-SEP-2023,20416.45,20468.05,20329.85,20408.2,109552282,8407.68
15-SEP-2023,20455.6,20573.25,20447.35,20531.35,192892298,22354.58
18-SEP-2023,20479.9,20509.6,20374.8,20408.25,131489892,10907.38
20-SEP-2023,20191.3,20267.65,20064.35,20104.5,179452099,18282.79
21-SEP-2023,20005.7,20032,19799.25,19814.95,162378845,13784.1
22-SEP-2023,19831.6,19931.95,19706.6,19732.95,140640538,11609.37
25-SEP-2023,19748.45,19913,19721.25,19842.6,96987116,10032.9
26-SEP-2023,19821.15,19852.85,19771.7,19797.85,92988053,8561.79
27-SEP-2023,19726,19799,19603.9,19772.55,153701210,10168.41
28-SEP-2023,19808.4,19828.45,19649.35,19675.55,166871418,15416.09
29-SEP-2023,19729.2,19880.6,19695.6,19811.1,113355793,8886.67
03-OCT-2023,19793.4,19795,19669.05,19733.7,132807698,11088.54
04-OCT-2023,19629.45,19655.15,19534.75,19578.05,152614602,14247.18
05-OCT-2023,19672.55,19762.75,19638.15,19678.6,108982774,9761.88
06-OCT-2023,19759.85,19856.75,19714.75,19818.2,84295901,8456.85
09-OCT-2023,19698.45,19716.5,19569.6,19594.65,77670635,6193.1
10-OCT-2023,19659.2,19879.25,19650.9,19834.85,111920856,9306.9
11-OCT-2023,19931.05,19985.15,19879.95,19929.75,104217576,8893.31
12-OCT-2023,19938.95,19972.7,19903.95,19945.7,78283726,6695.32
13-OCT-2023,19836.75,19937.4,19788.4,19827.35,97241450,9308.67
16-OCT-2023,19797.3,19863.95,19733,19814.5,74721049,5554.91
17-OCT-2023,19980.05,19981.85,19918.8,19943.2,81685552,7805.36
18-OCT-2023,19923.95,19926.95,19667.35,19687.2,84572938,8388.23
19-OCT-2023,19533.8,19737.15,19500.65,19610.15,82989128,7534.6
20-OCT-2023,19525.4,19664.3,19506.25,19606.25,72904349,6487.35
23-OCT-2023,19646.25,19665.7,19350.3,19404.8,102121207,8743.52
25-OCT-2023,19460.4,19486.85,19192.25,19224.1,94731483,8010.99
26-OCT-2023,19152.15,19161.4,18870.15,18922.7,152722250,13362.54
27-OCT-2023,19051.35,19154.2,19031.8,19129.15,90361084,8817.3
30-OCT-2023,19095.6,19269.5,18964.15,19241.4,73079748,6524.86
31-OCT-2023,19386.3,19386.7,19175.5,19204.6,107223270,9564.68
01-NOV-2023,19140.95,19196.55,19088,19144.6,97488728,7725.07
02-NOV-2023,19277.65,19399.65,19194.6,19271.95,160098948,10339.6
03-NOV-2023,19404.35,19433.9,19356.65,19367.4,88286949,7069.34
06-NOV-2023,19509.25,19548.2,19423.55,19537.55,97260920,7182.4
07-NOV-2023,19552.2,19586.7,19356.35,19560.6,117671463,10886.79
08-NOV-2023,19574.35,19577.4,19456.05,19510.9,86881301,8266.62
09-NOV-2023,19495.1,19566.9,19448.25,19491.95,118121192,7483.33
10-NOV-2023,19429.05,19608.2,19423.1,19571.05,79635167,5607.29
12-NOV-2023,19676.05,19677.7,19625.55,19657.25,17063464,1098.37
13-NOV-2023,19606,19615.7,19479.9,19542.15,137103696,8603.24
15-NOV-2023,19759.1,19775.65,19690.3,19722.85,130099427,11360.94
16-NOV-2023,19688.6,19842.55,19640,19732.25,102202918,11183.23
17-NOV-2023,19496.95,19647.95,19469.85,19554.3,145824717,12513.12
20-NOV-2023,19552.8,19592.5,19483.1,19518.6,98734028,8261.78
21-NOV-2023,19619,19635.4,19584.6,19612.1,125996775,9559.73
22-NOV-2023,19604.6,19615.7,19467.25,19566.3,101540292,8298.63
23-NOV-2023,19563.7,19642.4,19561.7,19587.25,78958580,4823.43
24-NOV-2023,19595.45,19665.4,19576.95,19652,68167657,5583.92
28-NOV-2023,19685.45,19739.4,19645.85,19702.65,93950918,8199.35
29-NOV-2023,19786.75,20022.55,19766.15,20000.35,102968950,9039.85
30-NOV-2023,20051.6,20099.3,19903.35,20054.65,219229083,19257.81
01-DEC-2023,20096.7,20255.3,20074.15,20211,166005324,11277.13
04-DEC-2023,20571.3,20884.3,20493.05,20862.9,194975033,16659.22
05-DEC-2023,21068.05,21161.8,20938.25,21055.8,193325178,17439.29
06-DEC-2023,21161.15,21161.15,20993.5,21026.75,134903166,11329.45
07-DEC-2023,20992.45,21075.25,20911.05,21023.45,140348143,8805.67
08-DEC-2023,21007.05,21237.2,21006.3,21213.85,143609766,11537.56
11-DEC-2023,21192.65,21321.5,21162.45,21214.7,90560838,8157.44
12-DEC-2023,21260.75,21277.75,21140.35,21173.25,113468567,10796.58
13-DEC-2023,21203.65,21208.7,21055.45,21171.2,171240103,12678.08
14-DEC-2023,21375.6,21562.2,21354.35,21461.25,142610898,13686.44
15-DEC-2023,21545.4,21570.95,21365.4,21529.75,202684149,22137.51
18-DEC-2023,21513.15,21535.45,21418.15,21444.9,98605439,8638.67
19-DEC-2023,21476.85,21491.05,21337.15,21434.45,97916403,9248.72
20-DEC-2023,21518.35,21552.35,21096.75,21201.25,145277116,12524.61
21-DEC-2023,21087.25,21359.25,20996.45,21326,138576133,11913.97
22-DEC-2023,21339.25,21413.5,21138.45,21197.15,130719262,12465.43
26-DEC-2023,21240.35,21303.6,21192.9,21261.65,106448184,8743.13
27-DEC-2023,21316,21491.7,21306.05,21465.7,96380591,9290.79
28-DEC-2023,21555.35,21627.35,21490.8,21534.1,159834257,14521.48
