Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,38605.5,38733.25,38508.25,38662.15,1003175489,12179.8
29-AUG-2023,38777.85,38844,38708.85,38794.8,1001859025,13879.83
30-AUG-2023,38966.8,39151.9,38953.8,39077.55,780275723,13547.97
31-AUG-2023,39202.35,39241.9,38965.9,39118.65,1746677415,38002.19
01-SEP-2023,39148.4,39480.5,39035.8,39445.6,2221805806,18652.86
04-SEP-2023,39630.75,39885.3,39445.6,39830.35,2247007270,19489.15
05-SEP-2023,39995.45,40292.15,39830.35,40253.6,1828293604,20838.99
06-SEP-2023,40367.35,40377.3,40154.8,40284.1,1240015997,15298.53
07-SEP-2023,40362.8,40619.15,40284.1,40593.9,1158701153,14065.58
08-SEP-2023,40722.8,41011.15,40705,40977.75,1249370186,17227.69
11-SEP-2023,41225.8,41467.2,41148.7,41444.2,1665565303,18456.03
12-SEP-2023,41684.9,41686.75,40128,40170.3,1987457328,22157.69
13-SEP-2023,40142.75,40345.75,39603.65,40245.1,1519389338,17863.35
14-SEP-2023,40455.65,40740.85,40403.6,40716.05,1106203873,15243.28
15-SEP-2023,40908.4,40982.75,40711.6,40829.9,1607733955,17618.41
18-SEP-2023,40885.3,40890.5,40633.1,40658.2,1717022523,15219.28
20-SEP-2023,40515.4,40714.45,40311.65,40543.85,999763746,13765.75
21-SEP-2023,40480.65,40664.95,40095.45,40184.85,946858670,12860.91
22-SEP-2023,40240.45,40399.55,39909.25,40139.15,1059719404,12527.99
25-SEP-2023,40216.95,40456.35,39909.85,40405.7,869471605,13845.75
26-SEP-2023,40437.65,40546.6,40312.85,40338.85,1042331035,11607.55
27-SEP-2023,40423.2,40678.4,40311.4,40640.8,1053285504,13906.62
28-SEP-2023,40734.25,40766.75,40051.65,40104.05,1105480203,17189.6
29-SEP-2023,40273.9,40663.25,40165.5,40537.05,786927784,15102.54
03-OCT-2023,40562.1,40666,40382.3,40608.85,779212829,12265.14
04-OCT-2023,40522.75,40525.85,39746.85,40047.5,813683266,12914.23
05-OCT-2023,40246.55,40402.4,40014.05,40046,603537747,10414.44
06-OCT-2023,40207,40319.35,40123.85,40284.7,567238632,9928.29
09-OCT-2023,39895,39987.3,39634.7,39744.65,874091824,10777.03
10-OCT-2023,39925.75,40325,39921.95,40285.5,593993013,12817.55
11-OCT-2023,40539.95,40731.15,40458.65,40486.25,834862830,12684.84
12-OCT-2023,40654.55,40704.95,40523.4,40555.5,608794279,10648.89
13-OCT-2023,40429.8,40641.85,40348.8,40506.15,784315976,10884.52
16-OCT-2023,40571.55,40687.6,40443.55,40590.65,601237249,11236.62
17-OCT-2023,40798.25,40849.45,40666.3,40733.35,812837685,13144.73
18-OCT-2023,40799.8,40844.4,40318.85,40367.15,643332245,13339.6
