Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,13469.9,13504.85,13439.25,13481.8,1933782571,26021.83
29-AUG-2023,13526.15,13560.05,13518.2,13547.45,2003566505,29674.37
30-AUG-2023,13618,13666.95,13615.3,13646.5,1648470359,30336.52
31-AUG-2023,13699.85,13744.3,13649.9,13719.8,3010954531,63911.09
01-SEP-2023,13753.55,13836.2,13723,13825,3360663646,39055.62
04-SEP-2023,13901.3,13973.8,13825,13950.15,3819298370,42338.45
05-SEP-2023,14017.65,14098.6,13950.15,14081.55,3231444323,42869.49
06-SEP-2023,14129.75,14131.55,14050,14086.4,2340731179,34067.78
07-SEP-2023,14123.3,14181.45,14086.4,14172.35,2145455565,33604.35
08-SEP-2023,14231.65,14296.9,14224.35,14288.2,2401721900,42227.77
11-SEP-2023,14382.8,14447.6,14371.45,14436.2,3168248143,43212.73
12-SEP-2023,14523.55,14523.9,13940.45,13962.35,3767500570,49067.64
13-SEP-2023,13964.55,14065.1,13782.65,14020.9,2978742984,39070.48
14-SEP-2023,14100.8,14188.05,14094.15,14165.9,2463024311,33658.79
15-SEP-2023,14239.8,14262,14161.95,14190,3324160447,42126.11
18-SEP-2023,14224.6,14224.85,14122.2,14132.9,3899816140,34595.93
20-SEP-2023,14098.95,14151.9,14028.7,14076.15,2435515658,30187.58
21-SEP-2023,14059.85,14118.75,13914,13942.85,2413339366,28226.74
22-SEP-2023,13967.1,14009.8,13848.95,13934.15,2558138938,29057.23
25-SEP-2023,13966.45,14005.05,13877.05,13986.7,1976268905,29680.04
26-SEP-2023,14006.8,14048.25,13970.95,14001.8,2017953570,27364.35
27-SEP-2023,14028.7,14113.8,14001.65,14105.5,2019709917,28800.15
28-SEP-2023,14148.9,14163.9,13971.2,13985,2320930878,35348.53
29-SEP-2023,14041.7,14151.6,14006.3,14111.7,1651507935,30109.54
03-OCT-2023,14132.75,14178.25,14081.5,14166.8,1927979517,27413.1
04-OCT-2023,14139.85,14140.9,13909.75,13992.1,2383519479,29141.55
05-OCT-2023,14063.9,14113.45,13997.4,14014.6,1843694093,23043.28
06-OCT-2023,14065.85,14111.25,14037,14099.4,1850184527,24219.5
09-OCT-2023,13962.3,13994.95,13867.75,13896.15,1937657274,25016.98
10-OCT-2023,13958.05,14075.1,13957.9,14063.05,1550921489,25243.83
11-OCT-2023,14144.2,14211.55,14132.7,14142.7,1668164825,26360.31
12-OCT-2023,14201.35,14224.45,14183.3,14200.45,1644697780,26215.4
13-OCT-2023,14164.3,14237.15,14143,14183.15,1790065161,26868.72
16-OCT-2023,14211.75,14249.75,14178.65,14214.8,1782956177,28989.36
17-OCT-2023,14301.15,14324.05,14261.5,14289.1,1805000451,29045.65
18-OCT-2023,14320.2,14336.7,14178.55,14203.8,1819151292,30205.42
19-OCT-2023,14160.3,14217.05,14088.45,14199.75,1636516917,25024.9
20-OCT-2023,14188.7,14219.75,14044.15,14072.05,2156146632,30539.25
23-OCT-2023,14095,14114.95,13595.95,13636.55,2100388265,34113.2
25-OCT-2023,13696.2,13754.3,13405.8,13552.95,1998930414,29245.04
26-OCT-2023,13486.05,13493.3,13203.7,13430.15,1893395512,31202.54
27-OCT-2023,13522.95,13682.7,13522.7,13648.3,1673158699,26237.94
30-OCT-2023,13686.4,13695.45,13554.45,13663.9,1679572731,25470.03
31-OCT-2023,13734.15,13778.5,13668.7,13679.75,1394501032,23496.6
01-NOV-2023,13716.9,13729.25,13646.35,13657.55,1944747246,24009.2
02-NOV-2023,13753.3,13824.35,13752.3,13815,1732173975,24540.63
03-NOV-2023,13904.85,13941.9,13885.9,13925.7,1841321291,24862.5
06-NOV-2023,14025.7,14069.7,13999.9,14060.05,1318580818,25314.2
07-NOV-2023,14096.7,14119.75,14052.7,14113.45,1578588994,27203
08-NOV-2023,14183.45,14251.4,14177.95,14231.2,1835309102,27793.32
09-NOV-2023,14271.75,14279.55,14207.45,14219.05,1729072457,28786.69
10-NOV-2023,14214.6,14286,14163.85,14274.45,1302789893,24419.76
12-NOV-2023,14404.6,14433.3,14388.1,14398.9,345480201,5791.42
13-NOV-2023,14390.75,14424.6,14324.4,14407.35,1870338632,28331.07
15-NOV-2023,14545.8,14556.85,14499.9,14544.7,2208279617,33159.31
16-NOV-2023,14570.1,14669.35,14550.2,14632.75,1734748744,27845.1
17-NOV-2023,14625.6,14708.9,14603.15,14682.4,2460533050,34949.38
20-NOV-2023,14727.2,14752.5,14658.9,14686.45,1824976132,30798.32
21-NOV-2023,14751.35,14770.5,14686.8,14699.8,1641571716,30019.13
22-NOV-2023,14723.05,14729.05,14587.65,14673.95,1439524470,27578
23-NOV-2023,14714.75,14751.05,14701.9,14710.2,1355511723,25117.85
24-NOV-2023,14753.95,14783.15,14725.25,14738.6,1461611508,28798.53
28-NOV-2023,14805.45,14816.8,14756.15,14787.2,1666940864,32980.14
29-NOV-2023,14866.7,14907.7,14845.3,14890.15,1607287041,33297.07
30-NOV-2023,14928.1,15041.25,14852.7,15022,3435889447,71102.12
01-DEC-2023,15103.1,15168.9,15097.85,15137.9,1821350281,37434.9
04-DEC-2023,15387.7,15394.35,15256.35,15323.2,2046695774,40669.57
05-DEC-2023,15383.25,15418.65,15240.45,15368.65,1951096326,37994.86
06-DEC-2023,15429.55,15439.85,15326.4,15398.45,1888618472,40261.26
07-DEC-2023,15426.6,15481.9,15330.3,15469.9,2497259682,41809.04
