Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,11927.75,11976.65,11892.4,11957.1,535153704,6051.65
29-AUG-2023,12008.2,12040.65,12003.7,12021.65,596060528,6491.97
30-AUG-2023,12109.55,12184,12104.8,12145.4,551007002,8520.19
31-AUG-2023,12206.55,12264.55,12172.05,12243.65,859162513,11578.1
01-SEP-2023,12291.35,12400.05,12268.2,12386.45,810033812,11286.22
04-SEP-2023,12468.15,12595.5,12386.45,12550.75,1186704773,14500.12
05-SEP-2023,12641.3,12701.05,12550.75,12656.25,963875775,13469.96
06-SEP-2023,12707,12721.45,12621.05,12674.9,685741595,10200.44
07-SEP-2023,12722.05,12773.35,12674.9,12734.15,697739183,12673.02
08-SEP-2023,12814.15,12843.1,12780.5,12812.3,793157865,16517.04
11-SEP-2023,12935.5,13006.35,12929.45,12982.25,921041782,16250.98
12-SEP-2023,13063.55,13079.2,12414.2,12450.2,1082780997,15341.86
13-SEP-2023,12462.75,12613.6,12296.85,12576.65,893879725,11732.46
14-SEP-2023,12662.25,12768.6,12659.1,12741.95,942847274,10113.12
15-SEP-2023,12811.2,12859.35,12748.7,12793.75,1227017146,13109.17
18-SEP-2023,12833.55,12851.2,12705.05,12725.2,1851344004,13230.36
20-SEP-2023,12707.95,12744.05,12539.85,12613.05,1000765305,8906.5
21-SEP-2023,12605.15,12658,12414.4,12444.45,1098538149,9131.46
22-SEP-2023,12476.2,12532.7,12333.85,12476.25,1133627757,10244.33
25-SEP-2023,12523.7,12543.65,12443.75,12481.55,712387167,8402.65
26-SEP-2023,12510.15,12596.5,12503.4,12552.15,723052779,9675.12
27-SEP-2023,12569.45,12685.65,12554,12675.5,681410859,8650.14
28-SEP-2023,12731.6,12794.8,12597.35,12623.75,912167824,10727.14
29-SEP-2023,12672.8,12790.1,12655.3,12748.5,577760995,9493.39
03-OCT-2023,12763.55,12837.2,12718.95,12816.2,751620835,8499.68
04-OCT-2023,12795.5,12795.5,12577.8,12656,1137287267,9654.14
05-OCT-2023,12747.45,12792.4,12681.95,12735.25,710601235,7080.4
06-OCT-2023,12772.8,12849.65,12731.5,12837.1,751814345,7907.08
09-OCT-2023,12683.7,12721.9,12567.45,12609,541579937,7242.6
10-OCT-2023,12661.7,12768.95,12661.4,12760.25,491082509,6404.97
11-OCT-2023,12837.45,12922.85,12835.75,12867.05,473575269,7670.53
12-OCT-2023,12926.9,12968.3,12917.65,12950.95,437810627,7012.83
13-OCT-2023,12931.65,12991.75,12884.3,12894.05,435420789,7105.53
16-OCT-2023,12939.45,12984.85,12894.05,12941.65,589825293,8061.05
17-OCT-2023,13057,13078,13020.2,13054.95,538009251,7703.21
18-OCT-2023,13112,13148.3,12999.4,13010.45,802004899,8697.16
19-OCT-2023,12989.25,13055,12922.15,13030.6,706798354,7597.92
20-OCT-2023,13043.1,13086,12883.7,12927.4,1056956591,10559.55
23-OCT-2023,12990.3,13019.95,12424.35,12463.9,750684326,11507.76
25-OCT-2023,12554.85,12645.85,12266,12433.5,724947628,8905.1
26-OCT-2023,12388.5,12421.65,12048.75,12390.7,654840707,9524.56
27-OCT-2023,12512.1,12672.05,12510.95,12639.3,628610711,8059.45
30-OCT-2023,12715.15,12719.15,12560.45,12657.8,530197351,7806.27
31-OCT-2023,12721.4,12755.75,12634.7,12649.9,427423420,7432.2
01-NOV-2023,12689.15,12746.4,12627.05,12640.75,383321418,7197.94
02-NOV-2023,12754.65,12826.9,12735.85,12809.9,392165333,6529.77
03-NOV-2023,12910.2,12983.85,12907.45,12965.05,421914541,7161.04
06-NOV-2023,13092.55,13158.95,13068.8,13144.65,341849354,7186.08
07-NOV-2023,13178.4,13250.4,13109.45,13242.7,522866597,8440.95
08-NOV-2023,13313.45,13401.95,13307.45,13335.15,572775070,7890.46
09-NOV-2023,13388.95,13398.9,13292,13303.15,368460482,8082.23
10-NOV-2023,13293.9,13382.75,13250.85,13365.2,274063499,6902.62
12-NOV-2023,13508.8,13560.05,13504.35,13517.7,90245030,1953.93
13-NOV-2023,13520.25,13629.1,13444.85,13610,429373797,8312.44
15-NOV-2023,13781.5,13808.45,13725.25,13789.25,560483751,10888.39
16-NOV-2023,13810.45,13912.25,13772,13869.05,455193715,8548.68
17-NOV-2023,13862.15,13957,13821.4,13881.85,585822855,8857.11
20-NOV-2023,13933.6,13970.2,13830.5,13872.8,464030973,7854.27
21-NOV-2023,13954.9,13989.1,13837.75,13857.8,459936111,7767.36
22-NOV-2023,13854.5,13870.55,13656.05,13689.95,368516233,6589.86
23-NOV-2023,13697.8,13826.3,13696.45,13785.5,411315173,7209.33
24-NOV-2023,13845.15,13905.35,13811.65,13827.5,450796660,6988.32
28-NOV-2023,13922.45,13946,13838.8,13868.9,454517294,8478.75
29-NOV-2023,13955.95,14036.3,13901.95,14012,456025744,8862.43
30-NOV-2023,14062.95,14202.2,13977.8,14171.35,1328423449,14028.95
01-DEC-2023,14252.15,14305.1,14223.2,14239.3,430909994,8916.58
04-DEC-2023,14495.85,14514.9,14360.95,14437.7,575666220,10217.08
05-DEC-2023,14500.25,14547.15,14335.75,14453.55,540181415,9379.38
06-DEC-2023,14502.25,14523.75,14414.5,14507.9,420103425,10671.99
07-DEC-2023,14537.2,14592.25,14426.9,14562,695389656,11648.34
08-DEC-2023,14612.1,14619.5,14321.55,14403.95,593547180,10127.29
11-DEC-2023,14470.25,14544.2,14465.75,14525.65,471534896,8589.46
12-DEC-2023,14606.45,14633.05,14493.35,14529.45,549235425,10236.33
13-DEC-2023,14593.2,14668.55,14528.75,14656.55,453876179,10154.7
14-DEC-2023,14785.4,14856.55,14771.2,14780.9,765530768,13200.25
15-DEC-2023,14873,14913.4,14814.7,14885.8,830525712,13174.12
18-DEC-2023,14940.55,15016.05,14813.9,14968.75,832183137,12553.52
19-DEC-2023,15029,15046.25,14891.85,14951.2,594267492,9651.66
20-DEC-2023,15033.3,15090.25,14349.6,14407.85,718699197,12669.87
21-DEC-2023,14231.4,14711.75,14091.45,14687.95,621376666,10862.5
22-DEC-2023,14786.1,14905.05,14713.45,14846.05,622044061,12367.02
26-DEC-2023,14904.15,14914.15,14822.25,14866.45,444143523,9379.14
27-DEC-2023,14953.1,14989.9,14821.9,14933.35,500681694,9842.99
28-DEC-2023,15006.75,15062.7,14965.15,15051.25,935251034,15550.45
29-DEC-2023,15114.95,15165,15019.8,15143.65,619579750,11840.98
01-JAN-2024,15195.05,15274.35,15182.1,15226.1,474953767,8773.54
02-JAN-2024,15269.45,15324.75,15015.2,15189.9,465792213,8924.49
03-JAN-2024,15199.35,15226.95,15096.25,15188.8,567824616,8393.1
04-JAN-2024,15265.5,15367.95,15263.45,15339.2,621177260,10383.43
05-JAN-2024,15426.4,15458.05,15285.75,15438.85,543483503,9493.43
08-JAN-2024,15511.65,15523.8,15326.85,15342.55,539470966,8708.78
09-JAN-2024,15462.6,15506.8,15384.25,15409.7,770779661,9319.37
10-JAN-2024,15445.4,15465.8,15288.3,15386.7,585327277,10941.82
11-JAN-2024,15450.6,15496.25,15420.7,15476.45,871230611,11889.8
12-JAN-2024,15568.55,15609.7,15526.9,15544.65,656539753,10762.14
15-JAN-2024,15642.9,15687.1,15503.05,15610.5,687346551,11171.79
16-JAN-2024,15620.75,15653.9,15376.2,15535.3,725964934,12510.63
17-JAN-2024,15385.85,15550.35,15282.05,15348.35,616547417,12042.23
18-JAN-2024,15333,15417.45,14936,15320.6,621927010,11216.93
19-JAN-2024,15455.8,15561.25,15447.55,15487.45,853289740,12455.66
20-JAN-2024,15553.65,15589.35,15477.7,15518.9,892610741,12499.87
23-JAN-2024,15633.45,15665.7,15014.05,15073.05,932824736,13537.33
24-JAN-2024,15109.8,15348.2,14910.3,15332.05,910475337,14022.18
25-JAN-2024,15397.85,15435.3,15289.15,15409.4,975070207,15852.7
29-JAN-2024,15503.25,15654.6,15497,15638.55,1136687871,16463.5
30-JAN-2024,15743.25,15817.4,15657.35,15673.8,1021616864,14197.78
31-JAN-2024,15756.7,16038.95,15737,16026.3,988733664,14961.52
01-FEB-2024,16119.85,16142.3,15914.5,16127.2,1269693066,18387.47
02-FEB-2024,16253.2,16388.65,16225.25,16277.85,1629782880,22875.14
05-FEB-2024,16376.15,16531.75,16220.45,16319.75,1712250282,23388.83
06-FEB-2024,16433.8,16478.05,16283.05,16449.35,1165023355,17117.09
07-FEB-2024,16569.9,16653.45,16458.05,16566.2,1449769194,19930.14
08-FEB-2024,16670.25,16691.6,16471.8,16500.95,984483068,15340.09
09-FEB-2024,16561.4,16565.2,16007.55,16269.3,872391657,13480.61
12-FEB-2024,16286.75,16295.95,15560.3,15617.05,790866387,12788.47
13-FEB-2024,15575.6,15664.9,15225.85,15643.75,907795654,12685.88
14-FEB-2024,15453.75,15916.05,15389.6,15896.05,751943791,12053.86
15-FEB-2024,16012.75,16120.6,16006.7,16105.2,761092161,12077.85
16-FEB-2024,16200.55,16263.15,16164.5,16194,621702481,13014.64
19-FEB-2024,16292.55,16331.45,16231.55,16258.3,526414493,10430.26
20-FEB-2024,16305.15,16348.4,16144.2,16172.35,490982981,9280.13
21-FEB-2024,16223.05,16268.6,15968.15,16004.85,534883125,10183.06
22-FEB-2024,16081.5,16127,15836.5,16114.45,499022295,9522.95
23-FEB-2024,16217.8,16226.35,16139.7,16175.2,360336222,8451.42
26-FEB-2024,16221,16256.2,16117.8,16133.15,417235084,8958.36
27-FEB-2024,16178.05,16240.35,16130.05,16177.7,437815619,9534.16
28-FEB-2024,16241.2,16260,15795.8,15875.15,421015663,9533.12
29-FEB-2024,15863.6,16028.2,15642.3,15976.2,529432400,10067.54
01-MAR-2024,16076.05,16133.7,16025.7,16058.95,317009643,7057.84
02-MAR-2024,16116.7,16178.8,16111.55,16170.15,62047142,1165.28
04-MAR-2024,16195.75,16228.05,16045.95,16087.25,403591565,8365.09
05-MAR-2024,16036.8,16037.7,15871.15,15888.1,537813888,10654.01
06-MAR-2024,15823.75,15824.35,15357.2,15576.55,440340798,9804.22
07-MAR-2024,15613.3,15746.2,15607.3,15709,415088651,8406.77
11-MAR-2024,15777.05,15783.6,15368.35,15396.9,391184121,8067.95
12-MAR-2024,15415.95,15421,15010.55,15092.1,412807298,8309.05
13-MAR-2024,15113.8,15176.8,14213.55,14295.05,603669165,11745.69
14-MAR-2024,14196.8,14803.1,14085.35,14788.55,636773707,11103.91
15-MAR-2024,14779.05,14927.4,14566.85,14846.7,761681412,13163.64
18-MAR-2024,14858.1,14927.7,14680.6,14762.15,361188885,7045.29
19-MAR-2024,14776.7,14801.4,14565.2,14586.85,334417578,6951.69
20-MAR-2024,14649.9,14698.75,14396.8,14593.55,367950317,7203.97
21-MAR-2024,14762,14980.55,14759.6,14960.3,412114915,8519.54
22-MAR-2024,14955.65,15092.95,14918.35,15056.75,331447979,7266.15
26-MAR-2024,15064.55,15170.25,14940.75,15118.35,313279798,7821.84
27-MAR-2024,15175.7,15349.5,15158.25,15263.9,502376526,13442.77
28-MAR-2024,15365.6,15397.15,15251.2,15270.45,360121058,8548.88
01-APR-2024,15418.25,15785.1,15414.55,15768.4,444987459,11145.06
02-APR-2024,15834.85,15974.75,15761.3,15960.95,447031740,11116.3
03-APR-2024,15965.75,16158.9,15932.15,16146.4,483066675,11647.26
04-APR-2024,16287.75,16335.75,16137.8,16219.35,484307625,12893.17
05-APR-2024,16229.25,16375.55,16171.05,16355.35,526674734,12545.41
08-APR-2024,16466.8,16485.6,16360.25,16407.05,496193605,13386.84
09-APR-2024,16508.6,16556.75,16357.45,16451.9,511479746,14407.24
10-APR-2024,16500.05,16593.1,16403.75,16571.4,444589649,13122.76
12-APR-2024,16562.45,16653.3,16473.95,16496.4,389244531,12511.23
15-APR-2024,16131.55,16363.3,15911.85,16211,478606399,12695.31
16-APR-2024,16104.95,16421.65,16065.9,16332.8,390671749,12387.21
